brand;name;link;image;color;consist;description
U.S. POLO ASSN.;Short Sleeve Striped T-Shirt Dress;https://www.6pm.com/p/u-s-polo-assn-short-sleeve-striped-t-shirt-dress-evening-blue/product/9432704/color/155814;https://m.media-amazon.com/images/I/719IaQq-noL._AC_SX510_.jpg;Evening Blue; 95% cotton, 5% spandex;Add plenty of feminine appeal to your sporty style wearing the cotton-blend U.S. POLO ASSN.® Short Sleeve Striped T-Shirt Dress.
O'Neill;Bellus Dress;https://www.6pm.com/p/oneill-bellus-dress-winter-white/product/9373967/color/949;https://m.media-amazon.com/images/I/819MSJNZe1L._AC_SX510_.jpg;Winter White; 100% viscose;This O'Neill® Bellus Dress has a resort look that's perfect for the beach.
Lucy Love;West End Dress;https://www.6pm.com/p/lucy-love-west-end-dress-black/product/8855773/color/3;https://m.media-amazon.com/images/I/71IHefu+CJL._AC_SX510_.jpg;Black; 95% rayon, 5% spandex ;The perfect date night dress will keep you looking classy and sexy all throughout the night! 
WAYF;Mini Wrap Dress;https://www.6pm.com/p/wayf-mini-wrap-dress-hunter-jacquard/product/9370017/color/860412;https://m.media-amazon.com/images/I/81uB0buoogL._AC_SX510_.jpg;Hunter Jacquard; 97% polyester, 3% spandex ;Shimmery rhinestone buttons accent the ruched side of this WAYF™ Mini Wrap Dress for a gorgeous look that is simply elegant. 
Vince Camuto;Long Sleeve Iris Silhouette Asymmetrical Hem Wrap Front Dress;https://www.6pm.com/p/vince-camuto-long-sleeve-iris-silhouette-asymmetrical-hem-wrap-front-dress-rich-black/product/9300343/color/255458;https://m.media-amazon.com/images/I/81GrWwKD+zL._AC_SX510_.jpg;Rich Black;" 100% polyester;Lining: 100% polyester";An allover floral print, sheer sleeves, and cascading hemline lend visual interest to the stunning Vince Camuto® Long Sleeve Iris Silhouette Asymmetrical Hem Wrap Front Dress.
Betsey Johnson;Square Neck Gather Dress;https://www.6pm.com/p/betsey-johnson-square-neck-gather-dress-honey/product/9421214/color/2754;https://m.media-amazon.com/images/I/71sou9uawPL._AC_SX510_.jpg;Honey; 95% polyester, 5% spandexLining: 100% polyester;The Betsey Johnson® Square Neck Gather Dress flaunts a fitted silhouette in a poly-blend fabrication so you can stop the party!
Betsey Johnson;Tank Dress w/ Flounce;https://www.6pm.com/p/betsey-johnson-tank-dress-w-flounce-peach/product/9421228/color/4912;https://m.media-amazon.com/images/I/71grW5waDjL._AC_SX510_.jpg;Peach; 95% polyester, 5% spandex ;The Betsey Johnson® Tank Dress w/ Flounce has the perfect amount of style. Straight neckline with thin spaghetti straps and back zipper closure create a sleek allover appearance. 
MAXSTUDIO;Button Front Collared Dress;https://www.6pm.com/p/maxstudio-button-front-collared-dress-black-terra-cotta/product/9486637/color/187286;https://m.media-amazon.com/images/I/813lPe7-j4L._AC_SX510_.jpg;Black/Terra Cotta; 95% polyester, 5% spandex ;Keep your look career oriented with this poly-stretch MAX STUDIO™ Button Front Collared Dress.
MAXSTUDIO;A-Line Shift Dress;https://www.6pm.com/p/maxstudio-a-line-shift-dress-black-burgundy/product/9486642/color/843;https://m.media-amazon.com/images/I/814K-etEiCL._AC_SX510_.jpg;Black/Burgundy; 95% polyester, 5% spandex ;The allover printed design of this MAX STUDIO™ A-Line Shift Dress is sure to have you stand out. Rounded neckline has three-quarter length sleeves and an easy pullover design. 
Amuse Society;Driftwood Sleeveless Woven Dress;https://www.6pm.com/p/amuse-society-driftwood-sleeveless-woven-dress-black/product/9278791/color/3;https://m.media-amazon.com/images/I/71zRgvNLl0L._AC_SX510_.jpg;Black; 51% linen, 49% viscose;Get into vacation mode in a hurry with the breezy Amuse Society® Driftwood Sleeveless Woven Dress!
